B00, 0
B01, 1
B05, Trade, 2397249.980, 217, B05, S03, 1
B05, Trade, 2397379.297, 217, B05, S04, 1
B05, Trade, 2397433.797, 217, B05, S04, 1
B05, Trade, 2437576.413, 217, B05, S02, 1
B05, Trade, 2465202.680, 217, B05, S02, 1
B05, Trade, 2471169.046, 217, B05, S00, 1
B05, Trade, 2505713.746, 217, B05, S05, 1
B05, Trade, 2510415.396, 217, B05, S02, 1
B05, Trade, 2511943.329, 217, B05, S02, 1
B05, Trade, 2548181.329, 217, B05, S00, 1
B05, Trade, 2581702.746, 217, B05, S02, 1
B05, Trade, 2589342.729, 217, B05, S04, 1
B05, Trade, 2590137.396, 217, B05, S02, 1
B06, 100
B06, Trade, 2019400.165, 220, B06, S03, 1
B06, Trade, 2019476.531, 220, B06, S04, 1
B06, Trade, 2019826.431, 220, B06, S05, 1
B06, Trade, 2020916.065, 220, B06, S02, 1
B06, Trade, 2021190.331, 217, B06, S00, 1
B06, Trade, 2022223.348, 218, B06, S04, 1
B06, Trade, 2022477.015, 220, B06, S04, 1
B06, Trade, 2022923.715, 218, B06, S04, 1
B06, Trade, 2053076.531, 219, B06, S05, 1
B06, Trade, 2053499.715, 219, B06, S03, 1
B06, Trade, 2055686.431, 220, B06, S02, 1
B06, Trade, 2055974.731, 220, B06, S00, 1
B06, Trade, 2088050.848, 219, B06, S00, 1
B06, Trade, 2088099.248, 217, S04, B06, 1
B06, Trade, 2090222.948, 220, B06, S05, 1
B06, Trade, 2099624.381, 219, B06, S05, 1
B06, Trade, 2102039.131, 218, B06, S01, 1
B06, Trade, 2145186.848, 220, B06, S02, 1
B06, Trade, 2160818.081, 220, B06, S00, 1
B06, Trade, 2163304.147, 219, B06, S05, 1
B06, Trade, 2163863.247, 220, B06, S00, 1
B06, Trade, 2167256.664, 220, B06, S01, 1
B06, Trade, 2181725.147, 220, B06, S04, 1
B06, Trade, 2183058.764, 220, B06, S00, 1
B06, Trade, 2183358.347, 217, B06, S01, 1
B06, Trade, 2183924.314, 218, B06, S00, 1
B06, Trade, 2184104.147, 220, B06, S00, 1
B06, Trade, 2185064.164, 218, B06, S04, 1
B06, Trade, 2186784.464, 219, B06, S00, 1
B06, Trade, 2187111.081, 219, B06, S00, 1
B06, Trade, 2187152.314, 220, B06, S01, 1
B06, Trade, 2190040.464, 219, B06, S05, 1
B06, Trade, 2202837.864, 218, B06, S05, 1
B06, Trade, 2230239.697, 220, B06, S04, 1
B06, Trade, 2235425.681, 216, B06, S04, 1
B06, Trade, 2261188.430, 220, B06, S01, 1
B06, Trade, 2262250.214, 220, B06, S04, 1
B06, Trade, 2265343.697, 220, B06, S05, 1
B06, Trade, 2266514.214, 218, B06, S01, 1
B06, Trade, 2311936.847, 217, B06, S03, 1
B06, Trade, 2315189.714, 220, B06, S02, 1
B06, Trade, 2373914.780, 220, B06, S00, 1
B06, Trade, 2380541.813, 217, B06, S02, 1
B06, Trade, 2389836.530, 219, B06, S00, 1
B06, Trade, 2390860.513, 220, B06, S00, 1
B06, Trade, 2390973.230, 218, B06, S00, 1
B06, Trade, 2391108.397, 220, S06, B06, 1
B06, Trade, 2391189.213, 217, S04, B06, 1
B06, Trade, 2391531.863, 218, B06, S04, 1
B06, Trade, 2392302.463, 220, B06, S02, 1
B06, Trade, 2392357.747, 220, B06, S02, 1
B06, Trade, 2392560.663, 219, B06, S00, 1
B06, Trade, 2392570.180, 217, B06, S03, 1
B06, Trade, 2392664.530, 220, B06, S03, 1
B06, Trade, 2392769.613, 220, B06, S04, 1
B06, Trade, 2393092.430, 220, B06, S04, 1
B06, Trade, 2393277.747, 220, B06, S02, 1
B06, Trade, 2393366.363, 220, B06, S04, 1
B06, Trade, 2393478.613, 220, B06, S04, 1
B06, Trade, 2393495.547, 219, B06, S02, 1
B06, Trade, 2394165.147, 217, B06, S02, 1
B06, Trade, 2394205.997, 220, B06, S06, 1
B06, Trade, 2394242.813, 220, B06, S00, 1
B06, Trade, 2394460.430, 220, B06, S00, 1
B06, Trade, 2394927.697, 220, B06, S04, 1
B06, Trade, 2395177.613, 220, B06, S06, 1
B06, Trade, 2395245.513, 217, B06, S00, 1
B06, Trade, 2395332.797, 218, B06, S04, 1
B06, Trade, 2395761.330, 220, B06, S02, 1
B06, Trade, 2395875.563, 217, B06, S04, 1
B06, Trade, 2396119.597, 220, B06, S02, 1
B06, Trade, 2396246.013, 219, B06, S04, 1
B06, Trade, 2396832.897, 220, B06, S02, 1
B06, Trade, 2396991.313, 220, B06, S00, 1
B06, Trade, 2397134.797, 220, B06, S00, 1
B06, Trade, 2397249.330, 220, B06, S04, 1
B06, Trade, 2397309.513, 218, B06, S04, 1
B06, Trade, 2403433.880, 220, B06, S01, 1
B06, Trade, 2432625.763, 218, B06, S03, 1
B06, Trade, 2466625.563, 217, B06, S02, 1
B06, Trade, 2468109.746, 220, B06, S04, 1
B06, Trade, 2468499.796, 219, B06, S01, 1
B06, Trade, 2469942.780, 220, B06, S02, 1
B06, Trade, 2472982.480, 217, B06, S00, 1
B06, Trade, 2474667.546, 220, B06, S04, 1
B06, Trade, 2475094.746, 220, B06, S00, 1
B06, Trade, 2475161.230, 220, B06, S00, 1
B06, Trade, 2505713.480, 220, B06, S01, 1
B06, Trade, 2506314.330, 220, B06, S03, 1
B06, Trade, 2507599.913, 220, B06, S05, 1
B06, Trade, 2508553.080, 220, B06, S02, 1
B06, Trade, 2509162.313, 220, B06, S05, 1
B06, Trade, 2509462.113, 218, B06, S00, 1
B06, Trade, 2510415.379, 220, B06, S00, 1
B06, Trade, 2510726.863, 220, B06, S03, 1
B06, Trade, 2512663.063, 220, B06, S05, 1
B06, Trade, 2514344.096, 220, B06, S00, 1
B06, Trade, 2532793.029, 220, B06, S00, 1
B06, Trade, 2538287.596, 220, B06, S05, 1
B06, Trade, 2538547.963, 220, B06, S03, 1
B07, 100
B07, Trade, 2487727.663, 221, B07, S02, 1
B07, Trade, 2488437.446, 222, B07, S00, 1
B07, Trade, 2488907.746, 224, B07, S00, 1
