B06, Trade, 2559048.879, 217, B06, S00, 1
B06, Trade, 2559800.646, 219, B06, S00, 1
B06, Trade, 2560787.663, 218, B06, S03, 1
B06, Trade, 2561098.229, 220, B06, S03, 1
B06, Trade, 2561196.429, 219, B06, S03, 1
B06, Trade, 2561204.079, 219, B06, S04, 1
B06, Trade, 2562066.496, 220, B06, S04, 1
B06, Trade, 2562131.563, 220, B06, S03, 1
B06, Trade, 2562459.679, 220, B06, S03, 1
B06, Trade, 2562647.046, 219, B06, S04, 1
B06, Trade, 2562759.846, 216, B06, S04, 1
B06, Trade, 2564434.546, 219, B06, S03, 1
B06, Trade, 2564675.513, 215, B06, S03, 1
B06, Trade, 2566054.313, 217, B06, S01, 1
B06, Trade, 2579600.379, 219, B06, S02, 1
B06, Trade, 2587592.879, 220, B06, S01, 1
B06, Trade, 2587738.379, 220, B06, S02, 1
B06, Trade, 2589289.296, 220, B06, S01, 1
B06, Trade, 2589589.279, 220, B06, S02, 1
B06, Trade, 2590622.413, 220, B06, S02, 1
B07, 100
B07, Trade, 2531839.296, 222, B07, S04, 1
B07, Trade, 2532040.213, 223, B07, S00, 1
B07, Trade, 2532086.896, 224, B07, S02, 1
B07, Trade, 2532111.246, 223, B07, S04, 1
B07, Trade, 2532212.179, 219, B07, S02, 1
B07, Trade, 2532490.146, 224, B07, S02, 1
B07, Trade, 2532539.479, 221, B07, S00, 1
B07, Trade, 2532586.763, 224, B07, S00, 1
B07, Trade, 2532713.196, 222, B07, S00, 1
B07, Trade, 2532808.046, 224, B07, S00, 1
B07, Trade, 2532849.863, 224, B07, S02, 1
B07, Trade, 2532868.713, 224, B07, S03, 1
B07, Trade, 2532926.279, 223, B07, S03, 1
B07, Trade, 2532948.463, 223, B07, S04, 1
B07, Trade, 2533025.529, 222, B07, S03, 1
B07, Trade, 2533166.179, 224, B07, S01, 1
B07, Trade, 2533503.896, 222, B07, S03, 1
B07, Trade, 2533575.546, 224, B07, S01, 1
B07, Trade, 2533632.829, 223, B07, S02, 1
B07, Trade, 2533662.596, 224, B07, S01, 1
B07, Trade, 2533688.813, 224, B07, S02, 1
B07, Trade, 2533752.296, 221, B07, S01, 1
B07, Trade, 2533865.729, 224, B07, S02, 1
B07, Trade, 2533949.513, 224, B07, S02, 1
B07, Trade, 2534013.896, 222, B07, S04, 1
B07, Trade, 2534029.679, 224, B07, S00, 1
B07, Trade, 2534205.946, 222, B07, S03, 1
B07, Trade, 2534272.479, 223, B07, S01, 1
B07, Trade, 2534332.379, 224, B07, S03, 1
B07, Trade, 2534364.246, 224, B07, S01, 1
B07, Trade, 2534667.613, 223, B07, S01, 1
B07, Trade, 2534840.429, 223, B07, S01, 1
B07, Trade, 2534997.296, 221, B07, S00, 1
B07, Trade, 2535161.013, 224, B07, S01, 1
B07, Trade, 2535322.479, 224, B07, S01, 1
B07, Trade, 2535428.063, 222, B07, S00, 1
B07, Trade, 2535528.463, 217, B07, S01, 1
B07, Trade, 2535589.079, 223, B07, S03, 1
B07, Trade, 2536551.896, 224, B07, S03, 1
B07, Trade, 2536820.613, 223, B07, S00, 1
B07, Trade, 2537004.096, 220, B07, S01, 1
B07, Trade, 2537194.863, 221, B07, S01, 1
B07, Trade, 2537273.463, 223, B07, S03, 1
B07, Trade, 2537326.596, 224, S04, B07, 1
B07, Trade, 2537485.063, 224, B07, S07, 1
B07, Trade, 2538120.179, 223, B07, S00, 1
B07, Trade, 2538230.796, 223, B07, S03, 1
B07, Trade, 2538851.946, 224, B07, S07, 1
B07, Trade, 2538965.846, 224, B07, S00, 1
B07, Trade, 2538990.129, 224, B07, S00, 1
B07, Trade, 2539019.629, 221, B07, S00, 1
B07, Trade, 2539086.546, 222, B07, S03, 1
B07, Trade, 2539088.613, 224, B07, S00, 1
B07, Trade, 2539296.046, 224, B07, S01, 1
B07, Trade, 2539466.363, 220, B07, S01, 1
B07, Trade, 2539701.213, 223, B07, S01, 1
B07, Trade, 2539797.746, 224, B07, S03, 1
B07, Trade, 2540040.063, 223, B07, S03, 1
B07, Trade, 2540709.896, 224, B07, S07, 1
B07, Trade, 2540901.163, 224, B07, S00, 1
B07, Trade, 2540970.013, 224, B07, S01, 1
B07, Trade, 2541502.113, 224, B07, S07, 1
B07, Trade, 2541568.796, 224, B07, S00, 1
B07, Trade, 2541620.513, 224, B07, S03, 1
B07, Trade, 2541862.396, 224, B07, S00, 1
B07, Trade, 2542082.779, 221, B07, S03, 1
B07, Trade, 2542652.646, 224, B07, S00, 1
B07, Trade, 2542853.746, 224, B07, S00, 1
B07, Trade, 2544026.479, 224, B07, S03, 1
B07, Trade, 2544209.896, 224, B07, S00, 1
B07, Trade, 2544869.113, 224, B07, S00, 1
B07, Trade, 2545318.296, 224, B07, S03, 1
B07, Trade, 2545372.896, 224, B07, S03, 1
B07, Trade, 2547045.679, 224, B07, S00, 1
B07, Trade, 2547702.463, 224, B07, S07, 1
B07, Trade, 2547773.796, 224, B07, S07, 1
B07, Trade, 2548471.663, 223, B07, S00, 1
B07, Trade, 2553020.563, 224, B07, S03, 1
B07, Trade, 2584859.013, 224, B07, S01, 1
B07, Trade, 2585314.346, 224, B07, S01, 1
B07, Trade, 2585602.163, 224, B07, S03, 1
B07, Trade, 2585849.313, 223, B07, S02, 1
B07, Trade, 2585900.663, 223, B07, S01, 1
B07, Trade, 2586017.279, 222, B07, S00, 1
B07, Trade, 2586384.163, 224, B07, S03, 1
B07, Trade, 2586463.029, 224, B07, S06, 1
B07, Trade, 2586548.546, 224, B07, S03, 1
B07, Trade, 2586788.746, 222, B07, S03, 1
B07, Trade, 2587124.529, 224, B07, S01, 1
B07, Trade, 2587704.596, 224, B07, S04, 1
B07, Trade, 2588534.913, 224, B07, S00, 1
B07, Trade, 2588584.346, 220, B07, S01, 1
B07, Trade, 2589120.529, 223, B07, S04, 1
B07, Trade, 2589863.079, 224, B07, S02, 1
B07, Trade, 2589935.079, 222, B07, S04, 1
B07, Trade, 2590203.813, 224, B07, S01, 1
B07, Trade, 2590319.196, 220, B07, S02, 1
B07, Trade, 2590621.113, 222, B07, S00, 1
B07, Trade, 2591659.279, 224, B07, S00, 1
B07, Trade, 2591956.263, 223, B07, S01, 1
B08, 100
B08, Trade, 2558966.713, 227, B08, S08, 1
B08, Trade, 2558987.063, 227, B08, S01, 1
B08, Trade, 2559045.129, 227, B08, S00, 1
B08, Trade, 2559069.029, 221, B08, S03, 1
B08, Trade, 2559109.979, 225, B08, S00, 1
B08, Trade, 2559222.229, 224, B08, S03, 1
B08, Trade, 2559455.563, 222, B08, S04, 1
B08, Trade, 2559475.379, 223, B08, S03, 1
B08, Trade, 2559867.946, 227, B08, S08, 1
B08, Trade, 2559890.113, 227, B08, S02, 1
B08, Trade, 2559930.579, 226, B08, S03, 1
B08, Trade, 2559961.079, 226, B08, S04, 1
B08, Trade, 2559995.729, 226, B08, S00, 1
B08, Trade, 2560018.779, 227, B08, S00, 1
B08, Trade, 2560080.096, 225, B08, S00, 1
B08, Trade, 2560121.913, 226, B08, S03, 1
B08, Trade, 2560215.879, 223, B08, S00, 1
B08, Trade, 2560274.563, 223, B08, S00, 1
B08, Trade, 2560380.879, 226, B08, S04, 1
B08, Trade, 2560390.829, 227, B08, S03, 1
B08, Trade, 2560466.163, 224, B08, S00, 1
B08, Trade, 2560594.063, 224, B08, S03, 1
B08, Trade, 2560637.779, 227, B08, S03, 1
B08, Trade, 2560711.146, 227, B08, S03, 1
B08, Trade, 2560763.813, 225, B08, S03, 1
B08, Trade, 2560786.579, 227, B08, S08, 1
B08, Trade, 2560876.479, 227, B08, S03, 1
B08, Trade, 2560902.479, 225, B08, S03, 1
B08, Trade, 2560923.846, 221, B08, S04, 1
B08, Trade, 2560935.579, 222, B08, S04, 1
B08, Trade, 2560959.179, 226, B08, S04, 1
B08, Trade, 2560984.796, 225, B08, S03, 1
B08, Trade, 2561127.113, 226, B08, S03, 1
B08, Trade, 2561151.613, 226, B08, S04, 1
B08, Trade, 2561174.246, 226, B08, S04, 1
B08, Trade, 2561180.563, 227, S08, B08, 1
B08, Trade, 2561196.413, 227, B08, S04, 1
B08, Trade, 2561301.396, 227, B08, S03, 1
B08, Trade, 2561385.129, 226, B08, S04, 1
B08, Trade, 2561386.663, 226, B08, S03, 1
B08, Trade, 2561557.646, 227, B08, S00, 1
B08, Trade, 2561623.729, 227, B08, S04, 1
B08, Trade, 2561736.246, 227, B08, S08, 1
B08, Trade, 2562071.963, 227, B08, S08, 1
B08, Trade, 2562111.713, 227, B08, S03, 1
B08, Trade, 2562250.063, 224, B08, S03, 1
B08, Trade, 2562300.796, 226, B08, S00, 1
B08, Trade, 2562519.863, 225, B08, S04, 1
B08, Trade, 2562679.879, 224, B08, S04, 1
B08, Trade, 2562730.696, 225, B08, S04, 1
B08, Trade, 2562792.513, 225, B08, S01, 1
B08, Trade, 2563018.946, 227, B08, S00, 1
B08, Trade, 2563042.329, 227, B08, S03, 1
B08, Trade, 2563220.746, 227, B08, S04, 1
B08, Trade, 2563335.263, 226, B08, S04, 1
B08, Trade, 2563745.463, 225, B08, S03, 1
B08, Trade, 2563865.829, 218, B08, S03, 1
B08, Trade, 2563904.846, 225, B08, S07, 1
B08, Trade, 2564436.663, 227, B08, S08, 1
B08, Trade, 2564597.896, 227, B08, S03, 1
B08, Trade, 2564775.296, 226, B08, S00, 1
B08, Trade, 2565093.496, 227, B08, S01, 1
B08, Trade, 2565526.479, 224, B08, S07, 1
B08, Trade, 2565680.046, 227, B08, S08, 1
B08, Trade, 2565728.463, 227, B08, S07, 1
B08, Trade, 2566111.563, 227, B08, S01, 1
B08, Trade, 2566254.929, 227, B08, S07, 1
B08, Trade, 2566282.313, 227, B08, S04, 1
