B00, 0
B01, 0
B02, 0
B06, Trade, 2118714.714, 70, B06, S02, 1
B06, Trade, 2118756.314, 69, B06, S01, 1
B06, Trade, 2119560.414, 70, B06, S03, 1
B06, Trade, 2119758.464, 70, B06, S02, 1
B06, Trade, 2119832.031, 67, B06, S02, 1
B06, Trade, 2120457.431, 70, B06, S01, 1
B06, Trade, 2120698.381, 70, B06, S03, 1
B06, Trade, 2121469.364, 69, B06, S01, 1
B06, Trade, 2121651.031, 70, B06, S00, 1
B06, Trade, 2122076.081, 70, B06, S04, 1
B06, Trade, 2122453.698, 70, B06, S00, 1
B06, Trade, 2122648.864, 70, B06, S00, 1
B06, Trade, 2122789.914, 70, B06, S01, 1
B06, Trade, 2123207.631, 70, B06, S01, 1
B06, Trade, 2123427.131, 70, B06, S01, 1
B06, Trade, 2123724.331, 70, B06, S00, 1
B06, Trade, 2126413.914, 70, B06, S00, 1
B06, Trade, 2134498.364, 70, B06, S06, 1
B06, Trade, 2136854.164, 69, B06, S03, 1
B06, Trade, 2138137.931, 70, B06, S02, 1
B06, Trade, 2148830.698, 69, B06, S04, 1
B06, Trade, 2167185.647, 70, B06, S03, 1
B06, Trade, 2210109.231, 69, B06, S05, 1
B06, Trade, 2212066.514, 69, B06, S03, 1
B06, Trade, 2242163.780, 67, B06, S03, 1
B06, Trade, 2253784.897, 69, B06, S04, 1
B06, Trade, 2261621.430, 69, B06, S04, 1
B06, Trade, 2262968.397, 70, B06, S02, 1
B06, Trade, 2264980.547, 69, B06, S00, 1
B06, Trade, 2265412.564, 69, B06, S05, 1
B06, Trade, 2293506.314, 70, B06, S00, 1
B06, Trade, 2298569.680, 69, B06, S02, 1
B06, Trade, 2309170.597, 70, B06, S05, 1
B06, Trade, 2313153.264, 69, B06, S01, 1
B06, Trade, 2328121.447, 68, B06, S03, 1
B06, Trade, 2333270.247, 70, B06, S03, 1
B06, Trade, 2333892.480, 70, B06, S02, 1
B06, Trade, 2334063.797, 70, B06, S02, 1
B06, Trade, 2339191.863, 70, B06, S05, 1
B06, Trade, 2363689.830, 70, B06, S00, 1
B06, Trade, 2391193.280, 69, B06, S00, 1
B06, Trade, 2392940.880, 67, B06, S00, 1
B06, Trade, 2393521.647, 67, B06, S01, 1
B06, Trade, 2441275.663, 70, B06, S03, 1
B06, Trade, 2444929.630, 70, B06, S03, 1
B06, Trade, 2463836.230, 70, B06, S01, 1
B06, Trade, 2464858.630, 70, B06, S03, 1
B06, Trade, 2465694.580, 70, B06, S03, 1
B06, Trade, 2466628.763, 70, B06, S05, 1
B06, Trade, 2468349.396, 70, B06, S03, 1
B06, Trade, 2521106.146, 70, B06, S01, 1
B06, Trade, 2575432.529, 70, B06, S06, 1
B07, 100
B07, Trade, 2386414.413, 74, B07, S03, 1
B07, Trade, 2388019.280, 74, B07, S04, 1
B07, Trade, 2389473.530, 70, B07, S01, 1
B07, Trade, 2391432.297, 73, B07, S02, 1
B07, Trade, 2391481.713, 69, B07, S00, 1
B07, Trade, 2391562.780, 73, B07, S02, 1
B07, Trade, 2392927.180, 73, B07, S01, 1
B07, Trade, 2393445.430, 72, B07, S03, 1
B07, Trade, 2393983.663, 74, B07, S01, 1
B07, Trade, 2394706.780, 73, B07, S01, 1
B07, Trade, 2396340.330, 71, B07, S03, 1
B07, Trade, 2397283.097, 74, B07, S03, 1
B07, Trade, 2397333.313, 73, B07, S03, 1
B07, Trade, 2397433.080, 74, B07, S01, 1
B07, Trade, 2397498.163, 74, B07, S04, 1
B07, Trade, 2426930.480, 67, B07, S02, 1
B07, Trade, 2427037.013, 71, B07, S02, 1
B07, Trade, 2428225.896, 72, B07, S01, 1
B07, Trade, 2428383.596, 73, B07, S03, 1
B07, Trade, 2428917.013, 72, B07, S02, 1
B07, Trade, 2429063.196, 72, B07, S01, 1
B07, Trade, 2429139.846, 74, B07, S05, 1
B07, Trade, 2429196.846, 72, B07, S01, 1
B07, Trade, 2429736.363, 73, B07, S00, 1
B07, Trade, 2430278.846, 73, B07, S00, 1
B07, Trade, 2430507.363, 74, B07, S02, 1
B07, Trade, 2430582.963, 74, B07, S06, 1
B07, Trade, 2431526.046, 74, B07, S03, 1
B07, Trade, 2432834.013, 74, B07, S01, 1
B07, Trade, 2432899.063, 74, B07, S05, 1
B07, Trade, 2433429.913, 73, B07, S03, 1
B07, Trade, 2451911.646, 73, B07, S02, 1
B07, Trade, 2453180.046, 74, B07, S02, 1
B07, Trade, 2464867.563, 72, B07, S05, 1
B07, Trade, 2466206.280, 72, B07, S05, 1
B07, Trade, 2472382.896, 72, B07, S00, 1
B07, Trade, 2481419.413, 74, B07, S00, 1
B07, Trade, 2481620.096, 71, B07, S02, 1
B07, Trade, 2485681.380, 74, B07, S02, 1
B07, Trade, 2486461.930, 73, B07, S05, 1
B07, Trade, 2488051.396, 69, B07, S03, 1
B07, Trade, 2489826.513, 70, B07, S01, 1
B07, Trade, 2492932.713, 73, B07, S00, 1
B07, Trade, 2501157.763, 74, B07, S05, 1
B07, Trade, 2501250.346, 73, B07, S06, 1
B07, Trade, 2503020.196, 73, B07, S05, 1
B07, Trade, 2503106.513, 74, B07, S04, 1
B07, Trade, 2503622.530, 71, B07, S06, 1
B07, Trade, 2520217.963, 71, B07, S03, 1
B07, Trade, 2520745.596, 70, S05, B07, 1
B07, Trade, 2521098.896, 74, B07, S06, 1
B07, Trade, 2521122.813, 73, B07, S05, 1
B07, Trade, 2522613.079, 74, S07, B07, 1
B07, Trade, 2523237.096, 62, B07, S00, 1
B07, Trade, 2523969.046, 74, B07, S06, 1
B07, Trade, 2527568.196, 73, B07, S03, 1
B07, Trade, 2528041.196, 74, B07, S01, 1
B07, Trade, 2528342.596, 71, B07, S04, 1
B07, Trade, 2529119.579, 66, B07, S02, 1
B07, Trade, 2529427.663, 71, B07, S06, 1
B07, Trade, 2529632.163, 72, B07, S02, 1
B07, Trade, 2529791.979, 74, B07, S00, 1
B07, Trade, 2531016.079, 74, B07, S02, 1
B07, Trade, 2531215.196, 69, B07, S00, 1
B07, Trade, 2531317.046, 73, B07, S01, 1
B07, Trade, 2531657.163, 74, B07, S00, 1
B07, Trade, 2537522.813, 68, S03, B07, 1
B07, Trade, 2547139.796, 72, B07, S04, 1
B07, Trade, 2548274.063, 74, B07, S04, 1
B07, Trade, 2557390.446, 74, B07, S01, 1
B07, Trade, 2558886.246, 71, B07, S05, 1
B07, Trade, 2560531.829, 70, B07, S00, 1
B07, Trade, 2570702.496, 74, B07, S01, 1
B07, Trade, 2570895.313, 69, B07, S00, 1
B07, Trade, 2570994.446, 73, B07, S00, 1
B07, Trade, 2571197.913, 73, B07, S06, 1
B07, Trade, 2572512.479, 73, B07, S02, 1
B07, Trade, 2573638.246, 74, B07, S00, 1
B07, Trade, 2573948.313, 74, B07, S00, 1
B07, Trade, 2574712.346, 72, S03, B07, 1
B07, Trade, 2575205.413, 70, B07, S00, 1
B07, Trade, 2575694.713, 71, B07, S05, 1
B07, Trade, 2575805.529, 71, B07, S00, 1
B07, Trade, 2575923.846, 69, B07, S03, 1
B07, Trade, 2576091.913, 74, B07, S01, 1
B07, Trade, 2576255.979, 73, B07, S05, 1
B07, Trade, 2576663.746, 74, B07, S00, 1
B07, Trade, 2576718.613, 72, B07, S03, 1
B07, Trade, 2576900.829, 74, B07, S00, 1
B07, Trade, 2576912.529, 74, B07, S00, 1
B07, Trade, 2577096.196, 74, B07, S01, 1
B07, Trade, 2577518.813, 69, B07, S04, 1
B07, Trade, 2578904.663, 73, B07, S00, 1
B07, Trade, 2579145.546, 61, B07, S00, 1
B07, Trade, 2580753.096, 69, S05, B07, 1
B07, Trade, 2580895.546, 73, B07, S03, 1
B07, Trade, 2582706.096, 74, B07, S06, 1
B07, Trade, 2583536.996, 74, B07, S06, 1
B07, Trade, 2584342.229, 72, B07, S03, 1
