B00, 100
B02, Trade, 2591670.113, 100, S29, B02, 1
B02, Trade, 2591680.963, 107, B02, S16, 1
B02, Trade, 2591696.746, 102, S22, B02, 1
B02, Trade, 2591719.929, 100, S17, B02, 1
B02, Trade, 2591739.529, 117, S21, B02, 1
B02, Trade, 2591771.229, 100, S25, B02, 1
B02, Trade, 2591818.346, 102, S01, B02, 1
B02, Trade, 2591837.846, 101, S26, B02, 1
B02, Trade, 2591846.346, 101, S19, B02, 1
B02, Trade, 2591855.046, 124, B02, S00, 1
B02, Trade, 2591861.296, 100, S12, B02, 1
B02, Trade, 2591872.079, 101, S21, B02, 1
B02, Trade, 2591881.313, 140, B02, S25, 1
B02, Trade, 2591891.529, 123, S00, B02, 1
B02, Trade, 2591908.279, 108, S28, B02, 1
B02, Trade, 2591918.246, 135, B02, S22, 1
B02, Trade, 2591967.446, 101, S23, B02, 1
B02, Trade, 2591987.179, 102, B02, S23, 1
B03, 100
B03, Trade, 2590842.979, 150, B03, S06, 1
B03, Trade, 2590859.546, 126, B03, S06, 1
B03, Trade, 2590866.113, 122, B03, S04, 1
B03, Trade, 2590877.713, 150, B03, S20, 1
B03, Trade, 2590888.879, 125, B03, S07, 1
B03, Trade, 2590901.163, 150, B03, S09, 1
B03, Trade, 2590909.813, 132, B03, S03, 1
B03, Trade, 2590920.796, 150, B03, S22, 1
B03, Trade, 2590923.096, 150, S26, B03, 1
B03, Trade, 2590932.479, 100, S15, B03, 1
B03, Trade, 2590958.879, 150, B03, S28, 1
B03, Trade, 2590970.679, 113, B03, S14, 1
B03, Trade, 2590986.763, 150, B03, S12, 1
B03, Trade, 2590998.629, 150, B03, S03, 1
B03, Trade, 2591003.163, 147, B03, S01, 1
B03, Trade, 2591022.846, 150, B03, S06, 1
B03, Trade, 2591026.513, 101, B03, S14, 1
B03, Trade, 2591034.296, 100, S16, B03, 1
B03, Trade, 2591053.346, 140, B03, S16, 1
B03, Trade, 2591063.479, 111, B03, S07, 1
B03, Trade, 2591069.513, 150, B03, S21, 1
B03, Trade, 2591080.429, 150, B03, S07, 1
B03, Trade, 2591083.579, 150, B03, S06, 1
B03, Trade, 2591094.679, 100, B03, S09, 1
B03, Trade, 2591109.663, 100, S18, B03, 1
B03, Trade, 2591112.596, 150, B03, S25, 1
B03, Trade, 2591130.696, 150, B03, S24, 1
B03, Trade, 2591137.896, 150, B03, S09, 1
B03, Trade, 2591149.679, 132, B03, S22, 1
B03, Trade, 2591176.779, 109, S04, B03, 1
B03, Trade, 2591178.729, 107, B03, S11, 1
B03, Trade, 2591189.179, 102, B03, S20, 1
B03, Trade, 2591204.979, 149, B03, S08, 1
B03, Trade, 2591210.763, 100, S01, B03, 1
B03, Trade, 2591216.413, 114, B03, S20, 1
B03, Trade, 2591232.679, 103, B03, S23, 1
B03, Trade, 2591245.196, 107, B03, S09, 1
B03, Trade, 2591262.246, 100, S01, B03, 1
B03, Trade, 2591269.679, 150, B03, S14, 1
B03, Trade, 2591278.013, 150, B03, S02, 1
B03, Trade, 2591287.396, 150, B03, S01, 1
B03, Trade, 2591302.463, 150, B03, S21, 1
B03, Trade, 2591306.096, 150, B03, S04, 1
B03, Trade, 2591320.829, 150, B03, S23, 1
B03, Trade, 2591326.713, 109, B03, S06, 1
B03, Trade, 2591339.329, 145, B03, S06, 1
B03, Trade, 2591349.596, 100, B03, S26, 1
B03, Trade, 2591361.013, 103, S12, B03, 1
B03, Trade, 2591366.646, 150, B03, S20, 1
B03, Trade, 2591390.413, 124, B03, S11, 1
B03, Trade, 2591394.246, 128, B03, S27, 1
B03, Trade, 2591410.346, 148, B03, S23, 1
B03, Trade, 2591418.779, 150, B03, S20, 1
B03, Trade, 2591432.313, 100, B03, S27, 1
B03, Trade, 2591442.513, 145, B03, S26, 1
B03, Trade, 2591451.146, 150, B03, S00, 1
B03, Trade, 2591461.463, 103, B03, S22, 1
B03, Trade, 2591469.313, 150, B03, S24, 1
B03, Trade, 2591477.813, 150, B03, S00, 1
B03, Trade, 2591492.096, 101, S09, B03, 1
B03, Trade, 2591503.946, 106, B03, S27, 1
B03, Trade, 2591523.579, 150, B03, S19, 1
B03, Trade, 2591528.713, 149, B03, S12, 1
B03, Trade, 2591546.263, 150, B03, S15, 1
B03, Trade, 2591558.613, 150, B03, S29, 1
B03, Trade, 2591579.763, 149, B03, S12, 1
B03, Trade, 2591592.846, 104, B03, S01, 1
B03, Trade, 2591602.913, 150, B03, S17, 1
B03, Trade, 2591605.946, 150, B03, S22, 1
B03, Trade, 2591615.446, 103, B03, S06, 1
B03, Trade, 2591626.713, 150, B03, S10, 1
B03, Trade, 2591634.463, 123, B03, S28, 1
B03, Trade, 2591652.546, 150, B03, S11, 1
B03, Trade, 2591664.179, 103, B03, S10, 1
B03, Trade, 2591688.163, 150, B03, S10, 1
B03, Trade, 2591692.613, 150, B03, S09, 1
B03, Trade, 2591707.246, 102, B03, S03, 1
B03, Trade, 2591720.696, 100, B03, S22, 1
B03, Trade, 2591732.213, 150, B03, S03, 1
B03, Trade, 2591748.213, 142, B03, S12, 1
B03, Trade, 2591755.446, 124, B03, S07, 1
B03, Trade, 2591757.063, 105, B03, S25, 1
B03, Trade, 2591766.213, 150, B03, S00, 1
B03, Trade, 2591783.829, 150, B03, S07, 1
B03, Trade, 2591788.079, 150, B03, S10, 1
B03, Trade, 2591795.663, 144, B03, S09, 1
B03, Trade, 2591809.596, 135, B03, S07, 1
B03, Trade, 2591827.479, 125, B03, S04, 1
B03, Trade, 2591850.363, 150, B03, S16, 1
B03, Trade, 2591860.013, 100, B03, S16, 1
B03, Trade, 2591876.779, 120, B03, S23, 1
B03, Trade, 2591895.813, 100, S01, B03, 1
B03, Trade, 2591915.729, 150, B03, S05, 1
B03, Trade, 2591926.046, 147, B03, S10, 1
B03, Trade, 2591938.929, 150, B03, S11, 1
B03, Trade, 2591949.579, 150, B03, S15, 1
B03, Trade, 2591956.229, 150, B03, S09, 1
B03, Trade, 2591969.663, 150, B03, S27, 1
B03, Trade, 2591981.329, 104, B03, S06, 1
B03, Trade, 2591992.346, 150, B03, S03, 1
B04, 100
B04, Trade, 2590968.779, 114, S07, B04, 1
B04, Trade, 2590980.129, 133, B04, S27, 1
B04, Trade, 2590989.379, 148, B04, S15, 1
B04, Trade, 2590993.529, 143, S17, B04, 1
B04, Trade, 2591010.163, 127, S11, B04, 1
B04, Trade, 2591012.613, 127, S05, B04, 1
B04, Trade, 2591023.963, 150, B04, S18, 1
B04, Trade, 2591037.979, 101, S09, B04, 1
B04, Trade, 2591050.096, 100, S26, B04, 1
B04, Trade, 2591054.263, 101, S14, B04, 1
